residual_id,residual_type,sign,biological_meaning,expected_subtype_signature,clinical_decision_support_relevance,confidence,evidence_citation,pmid,notes
R001,r_D_to_R (DNA->Regulatory edge residual),high_positive,Genomic state predicts MORE aggressive regulatory state than observed; DNA panel looks driver-rich but transcriptome appears calmer,Possible early/treatment-responsive state or sampling bias toward less aggressive tumor region,Flag for spatial heterogeneity assessment; bulk transcriptome may miss aggressive subclones,medium,Sottoriva 2013 PNAS (spatial heterogeneity),24014595,Intratumoral heterogeneity is well documented in glioma
R002,r_D_to_R,high_negative,Regulatory state predicts MORE aggressive than DNA suggests; transcriptome hot with quiet driver panel,Possible non-genetic / epigenetic / microenvironment-driven aggressiveness,Flag for methylation profiling and microenvironment characterization,medium,Suva 2019 Cell (non-genetic plasticity),31002795,
R003,r_D_to_R,low,Genomic and regulatory states are consistent (canonical biology),Stereotyped molecular subtype: IDHwt GBM with EGFR amp + Chr7/10 + classical transcriptome; or canonical IDHmut codel,Lower interpretive uncertainty; standard prognostic frameworks apply,high,Verhaak 2010 Cancer Cell; Ceccarelli 2016 Cell,20129251; 26771574,Most common case in canonical IDHwt GBM and IDHmut-codel
R004,r_D_to_C (DNA->Clinical edge residual),high_positive,Genomic state predicts WORSE clinical grade than observed,Grade 2/3 IDHmut-noncodel that has not yet progressed; or favorable host factors,Watch closely for grade progression; consider closer imaging surveillance,medium,TCGA glioma 2015 NEJM (progression patterns),26061751,Common in early IDHmut-noncodel astrocytomas before high-grade transformation
R005,r_D_to_C,high_negative,Clinical grade is WORSE than genomic state predicts (low-driver-load high-grade tumor),Possible occult driver not captured by panel (e.g. H3 K27M-like) or microenvironment-driven aggressiveness,Flag for extended molecular workup including DNA methylation profiling and methylation-based classification,medium,Sturm 2012 Cancer Cell,22980975,May indicate alterations outside standard glioma panel
R006,r_D_to_C,low,Genomic and clinical states agree,Canonical presentation,Standard clinical management appropriate,high,,,
R007,r_R_to_C (Regulatory->Clinical edge residual),high_positive,Regulatory state predicts WORSE clinical state than observed; aggressive transcriptome with lower observed grade,Tumor shows aggressive transcriptome (e.g. mesenchymal program) but lower observed histologic grade,Watch for histologic progression; aggressive transcriptional features predict transformation,high,Wang 2017 Cancer Cell (mesenchymal transition with progression),28697342,Mesenchymal shift often precedes clinical progression
R008,r_R_to_C,high_negative,Clinical state is WORSE than regulatory state predicts,Possible sampling issue or transcriptomically quiescent high-grade tumor,Consider re-sampling; review pathology for diagnostic concordance,medium,,,
R009,r_R_to_C,low,Regulatory and clinical states agree,Canonical presentation,Standard frameworks apply,high,,,
R010,SRIS (overall patient inconsistency),high,Patient shows substantial cross-modal regulatory inconsistency across multiple edges,Atypical / non-canonical glioma molecular pattern; may be intermediate between subtypes,Candidate for molecular tumor board review; standard prognostic models may not apply,high,Ceccarelli 2016 Cell (atypical patterns),26771574,
R011,SRIS,low,Patient fits canonical regulatory geometry,Canonical IDHmut-codel / IDHmut-noncodel / IDHwt GBM presentation,Standard subtype-based prognosis appropriate,high,Ceccarelli 2016 Cell,26771574,
